dataset,budget_fraction,strategy,mean,std
higgs,0.1,coreset,0.7022245814746519,0.017625544048296454
higgs,0.1,prototype,0.6735875557082686,0.012666533190235953
higgs,0.1,random,0.7474640477700559,0.008647558814518525
higgs,0.1,stratified,0.752878583263866,0.006285758928117395
higgs,0.1,stratified_coreset,0.6860522281220589,0.02609534590260519
higgs,0.25,coreset,0.7148729850273319,0.01454810536778954
higgs,0.25,prototype,0.7267675772298838,0.005758936835645515
higgs,0.25,random,0.768517666843084,0.002865852439869484
higgs,0.25,stratified,0.7714895804689615,0.0035740665927672124
higgs,0.25,stratified_coreset,0.7232934203444197,0.010261217281621632
higgs,0.5,coreset,0.7363481884569208,0.01193284128789998
higgs,0.5,prototype,0.7405017131250711,0.010504510266654249
higgs,0.5,random,0.7799701826423766,0.0014833325405729126
higgs,0.5,stratified,0.7802928182544777,0.0012069939469168272
higgs,0.5,stratified_coreset,0.7393447326701394,0.0043134937147301785
higgs,1.0,coreset,0.7650893950864196,0.007109901192497024
higgs,1.0,prototype,0.7582508404297517,0.002312806388315446
higgs,1.0,random,0.787123602487563,0.0015500357382036737
higgs,1.0,stratified,0.7858567074095709,0.0013036710436585728
higgs,1.0,stratified_coreset,0.7595619150561573,0.0041730368913201225
jannis,0.1,coreset,0.802077947991583,0.010468744441288548
jannis,0.1,prototype,0.774492113038205,0.01214807568707651
jannis,0.1,random,0.8180834867833757,0.006024014059244242
jannis,0.1,stratified,0.8255324488376876,0.007325899274991766
jannis,0.1,stratified_coreset,0.7683105679111947,0.017239604484462344
jannis,0.25,coreset,0.8407656348595036,0.0028255126919524277
jannis,0.25,prototype,0.8182570643440737,0.004878481412694845
jannis,0.25,random,0.8436373645295348,0.0020559328806150734
jannis,0.25,stratified,0.8440059137506143,0.004068400515710216
jannis,0.25,stratified_coreset,0.8257054896786298,0.007402008141447102
jannis,0.5,coreset,0.8502990106965358,0.00191545663832664
jannis,0.5,prototype,0.8384380581280783,0.004051865620254367
jannis,0.5,random,0.8533894923499458,0.002063539565762439
jannis,0.5,stratified,0.8544993070813307,0.003537421530492028
jannis,0.5,stratified_coreset,0.8472054346692003,0.0016663740151098708
jannis,1.0,coreset,0.8606509045753817,0.0013892284403815704
jannis,1.0,prototype,0.8531576516499941,0.00286377158361154
jannis,1.0,random,0.8604506309306911,0.004569189188687875
jannis,1.0,stratified,0.8607102855036752,0.003380785747547076
jannis,1.0,stratified_coreset,0.8581370431665793,0.00018410174265701107
mozilla4,0.1,coreset,0.9551639212832772,0.006826424370266715
mozilla4,0.1,prototype,0.9173913012901599,0.002538331653811214
mozilla4,0.1,random,0.960864807488722,0.001598373794772184
mozilla4,0.1,stratified,0.9610982908828016,0.0010836601288727876
mozilla4,0.1,stratified_coreset,0.9159165582859881,0.00902782969996231
mozilla4,0.25,coreset,0.9615579906175307,0.003949741459348377
mozilla4,0.25,prototype,0.9311159521668478,0.002830702080655478
mozilla4,0.25,random,0.9693409462359945,0.0007264413917733463
mozilla4,0.25,stratified,0.9663599891978767,0.0030156498598535235
mozilla4,0.25,stratified_coreset,0.9532627663375082,0.003384003078370591
mozilla4,0.5,coreset,0.9684343813205784,0.0005914145237873085
mozilla4,0.5,prototype,0.9676980647133452,0.0031449585060496547
mozilla4,0.5,random,0.9726225483071516,0.001402268897916722
mozilla4,0.5,stratified,0.9725104950316797,0.002720927503490678
mozilla4,0.5,stratified_coreset,0.9701681596163745,0.0012410842799621966
mozilla4,1.0,coreset,0.9767034090450905,0.0017498999635101769
mozilla4,1.0,prototype,0.9758891474292916,0.0012952755104995248
mozilla4,1.0,random,0.9772876449777159,0.0005389081081164286
mozilla4,1.0,stratified,0.9761995795423538,0.0016842140856854681
mozilla4,1.0,stratified_coreset,0.9782738544545163,0.0015371874630802935
nomao,0.1,coreset,0.984954033663127,0.0008978054690422018
nomao,0.1,prototype,0.9552078722019077,0.0105834303813848
nomao,0.1,random,0.986910911265146,0.0011114782193570685
nomao,0.1,stratified,0.9853292003924353,0.0007441301989627425
nomao,0.1,stratified_coreset,0.9841195877696495,0.0012814912296809657
nomao,0.25,coreset,0.9895726753097048,0.00044031521826302136
nomao,0.25,prototype,0.9769520067133173,0.001667484037017895
nomao,0.25,random,0.989507141357161,0.0005304884769384982
nomao,0.25,stratified,0.9893109907464976,0.0009058426743127743
nomao,0.25,stratified_coreset,0.9895190800626609,0.0007304524781810058
nomao,0.5,coreset,0.9920958936422757,0.00043456294991154443
