dataset,strategy,seed,brier,ece,n_classes
higgs,random,3,0.3777031,0.031232640493661167,2
higgs,stratified,3,0.3764148,0.02360300803631545,2
higgs,coreset,3,0.38958165,0.02466605969071389,2
higgs,prototype,3,0.40026182,0.028890207640826705,2
higgs,stratified_coreset,3,0.41603985,0.07964360631778836,2
higgs,random,4,0.3775417,0.024244283562898643,2
higgs,stratified,4,0.37708324,0.024946231666207325,2
higgs,coreset,4,0.39003736,0.022468243503570573,2
higgs,prototype,4,0.39834297,0.021221726188063634,2
higgs,stratified_coreset,4,0.41602993,0.09137252796329559,2
jannis,random,1,0.4032325,0.016257160979509362,4
jannis,stratified,1,0.40391085,0.007801822948455818,4
jannis,coreset,1,0.40312365,0.010047948482632631,4
jannis,stratified_coreset,1,0.4191877,0.050561905345320714,4
jannis,random,2,0.40227547,0.006047669965028767,4
jannis,stratified,2,0.4048988,0.009492268159985547,4
jannis,coreset,2,0.40188792,0.01026367819905283,4
jannis,stratified_coreset,2,0.42159,0.049602929890155814,4
jannis,random,3,0.40536532,0.009565049627423307,4
jannis,stratified,3,0.4070993,0.01252805905640126,4
jannis,coreset,3,0.40920848,0.010096890100836765,4
jannis,stratified_coreset,3,0.42133662,0.061124086886644356,4
jannis,random,4,0.41184542,0.006695783239603032,4
jannis,stratified,4,0.4049723,0.013434450703859334,4
jannis,coreset,4,0.40461716,0.014604278379678724,4
jannis,stratified_coreset,4,0.41661713,0.0596852734684944,4
MiniBooNE,random,1,0.093434684,0.003653367576003067,2
MiniBooNE,stratified,1,0.09620162,0.0073305929461494074,2
MiniBooNE,coreset,1,0.10252009,0.014005633316934111,2
MiniBooNE,prototype,1,0.1348506,0.02918360867910087,2
MiniBooNE,stratified_coreset,1,0.21196076,0.11040812948299572,2
MiniBooNE,random,2,0.10065811,0.022127914648596196,2
MiniBooNE,stratified,2,0.09979304,0.024311914377566423,2
MiniBooNE,coreset,2,0.107514635,0.014799802844226356,2
MiniBooNE,prototype,2,0.13226593,0.044162136185541746,2
MiniBooNE,stratified_coreset,2,0.19189437,0.09592642055600882,2
MiniBooNE,random,3,0.09539664,0.004982072672620414,2
MiniBooNE,stratified,3,0.09681288,0.0069272617883980245,2
MiniBooNE,coreset,3,0.10487299,0.015010969345457844,2
MiniBooNE,prototype,3,0.12510403,0.03302187318876386,2
MiniBooNE,stratified_coreset,3,0.18378349,0.0900144802725874,2
MiniBooNE,random,4,0.09470094,0.011316725026164206,2
MiniBooNE,stratified,4,0.09532559,0.0126951122296974,2
MiniBooNE,coreset,4,0.1063485,0.024431398201733835,2
MiniBooNE,prototype,4,0.12715758,0.028704842052236196,2
MiniBooNE,stratified_coreset,4,0.21057358,0.11007319261133672,2
numerai28.6,random,1,0.50020176,0.015176840490102761,2
numerai28.6,stratified,1,0.5006817,0.020621440958976743,2
numerai28.6,coreset,1,0.50008386,0.001222922477126121,2
numerai28.6,prototype,1,0.5004166,0.014845869976282084,2
numerai28.6,stratified_coreset,1,0.49991733,0.0033138469576836096,2
numerai28.6,random,2,0.5000739,0.017729826372861857,2
numerai28.6,stratified,2,0.50012904,0.006022446954250314,2
numerai28.6,coreset,2,0.5004378,0.023155005061626457,2
numerai28.6,prototype,2,0.5012508,0.01983262328207493,2
numerai28.6,stratified_coreset,2,0.5001179,0.011105778342485441,2
numerai28.6,random,3,0.49942875,0.01167515266537668,2
numerai28.6,stratified,3,0.49984533,0.01674519894719121,2
numerai28.6,coreset,3,0.4994662,0.008338712868094466,2
numerai28.6,prototype,3,0.49986377,0.013554544547200212,2
numerai28.6,stratified_coreset,3,0.5002013,0.008634021526575095,2
numerai28.6,random,4,0.5000744,0.01546136811375619,2
numerai28.6,stratified,4,0.50030816,0.014397748088836655,2
numerai28.6,coreset,4,0.49988672,0.007851894575357449,2
numerai28.6,prototype,4,0.50181544,0.0209198126971722,2
numerai28.6,stratified_coreset,4,0.49978843,0.003966242420673403,2
nomao,random,1,0.060505886,0.006235784164108469,2
nomao,stratified,1,0.06120235,0.007722455634883237,2
nomao,coreset,1,0.058009528,0.00819678283794414,2
nomao,stratified_coreset,1,0.060183786,0.007972004540598612,2
nomao,random,2,0.05519567,0.010298639916917969,2
nomao,stratified,2,0.05348174,0.010038453739162964,2
nomao,coreset,2,0.051807072,0.005490717795743312,2
nomao,stratified_coreset,2,0.052167613,0.0087322874145222,2
nomao,random,3,0.059593312,0.009197396523066902,2
nomao,stratified,3,0.055355027,0.005459663782841129,2
nomao,coreset,3,0.056736495,0.008508972247504989,2
nomao,stratified_coreset,3,0.05682712,0.008749280360807125,2
nomao,random,4,0.057961404,0.00874702964314749,2
nomao,stratified,4,0.05767127,0.008227594433376425,2
nomao,coreset,4,0.05353318,0.00828306987205021,2
nomao,stratified_coreset,4,0.05423399,0.005761074057627385,2
volkert,random,1,0.5057543,0.023442513182759278,10
volkert,stratified,1,0.509512,0.020178526091575617,10
volkert,coreset,1,0.55351114,0.015573046742379654,10
volkert,stratified_coreset,1,0.5633116,0.047035691553354256,10
volkert,random,2,0.49573633,0.011824544909596453,10
volkert,stratified,2,0.5075001,0.013962207692861554,10
volkert,coreset,2,0.5576539,0.025256223824620255,10
volkert,stratified_coreset,2,0.5547801,0.035417769470810885,10
volkert,random,3,0.5007917,0.019141897197067728,10
volkert,stratified,3,0.5017828,0.016737724304199227,10
volkert,coreset,3,0.55795556,0.024657241436839117,10
volkert,stratified_coreset,3,0.5727065,0.032313941687345527,10
volkert,random,4,0.5058468,0.028346223127841942,10
volkert,stratified,4,0.50172675,0.01062591220736504,10
volkert,coreset,4,0.5542291,0.025898850193619725,10
volkert,stratified_coreset,4,0.573689,0.04699146609008312,10
jannis,prototype,1,0.42619765,0.05146423207521437,4
jannis,prototype,2,0.43003544,0.039468269899487485,4
jannis,prototype,3,0.41897798,0.04851274513602258,4
jannis,prototype,4,0.42071372,0.0526842123031616,4
covertype,prototype,1,0.473346,0.1362015276521444,7
covertype,prototype,2,0.48854542,0.08420723312199115,7
covertype,prototype,3,0.45548603,0.12610404430329797,7
covertype,prototype,4,0.46425682,0.12387602644264699,7
nomao,prototype,1,0.060816027,0.010466675377974695,2
nomao,prototype,2,0.058163036,0.012631639650413888,2
nomao,prototype,3,0.059659593,0.012317157147002874,2
nomao,prototype,4,0.059597265,0.0063961066754747225,2
volkert,prototype,1,0.55025613,0.11336549152731895,10
volkert,prototype,2,0.5374776,0.07803839804828168,10
volkert,prototype,3,0.5299633,0.07773616468906402,10
volkert,prototype,4,0.55248,0.11053276728093622,10
