dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
pendigits,prototype,4,0.9963619827194179,0.020357553821466753,0.996371193335777,0.9962830356588505,0.9959599170482086,0.9990090554610405,0.9996155365537559,0.9990904956798545,10
pendigits,stratified_coreset,4,0.9963619827194179,0.020357553821466753,0.996371193335777,0.9962830356588505,0.9959599170482086,0.9990090554610405,0.9996155365537559,0.9990904956798545,10
phoneme,random,1,0.8899167437557817,0.24753733417514975,0.865832913536442,0.8621360265578807,0.7319248184457071,0.9093789683318535,0.9549977703271839,,2
phoneme,stratified,1,0.8899167437557817,0.24753733417514975,0.865832913536442,0.8621360265578807,0.7319248184457071,0.9093789683318535,0.9549977703271839,,2
phoneme,coreset,1,0.8899167437557817,0.24753733417514975,0.865832913536442,0.8621360265578807,0.7319248184457071,0.9093789683318535,0.9549977703271839,,2
phoneme,prototype,1,0.8899167437557817,0.24753733417514975,0.865832913536442,0.8621360265578807,0.7319248184457071,0.9093789683318535,0.9549977703271839,,2
phoneme,stratified_coreset,1,0.8899167437557817,0.24753733417514975,0.865832913536442,0.8621360265578807,0.7319248184457071,0.9093789683318535,0.9549977703271839,,2
phoneme,random,2,0.8936170212765957,0.25919163356377234,0.8685578101391767,0.8601396435826714,0.7384945747263749,0.9077364557478841,0.954097643153253,,2
phoneme,stratified,2,0.8936170212765957,0.25919163356377234,0.8685578101391767,0.8601396435826714,0.7384945747263749,0.9077364557478841,0.954097643153253,,2
phoneme,coreset,2,0.8936170212765957,0.25919163356377234,0.8685578101391767,0.8601396435826714,0.7384945747263749,0.9077364557478841,0.954097643153253,,2
phoneme,prototype,2,0.8936170212765957,0.25919163356377234,0.8685578101391767,0.8601396435826714,0.7384945747263749,0.9077364557478841,0.954097643153253,,2
phoneme,stratified_coreset,2,0.8936170212765957,0.25919163356377234,0.8685578101391767,0.8601396435826714,0.7384945747263749,0.9077364557478841,0.954097643153253,,2
phoneme,random,3,0.8889916743755781,0.2507253464820828,0.8640525177322802,0.8587130658827027,0.7286566835118845,0.909619260617913,0.9541224172956546,,2
phoneme,stratified,3,0.8889916743755781,0.2507253464820828,0.8640525177322802,0.8587130658827027,0.7286566835118845,0.909619260617913,0.9541224172956546,,2
