dataset,strategy,budget_fraction,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
bank-marketing,random,1.0,4,0.9054517306203693,0.20882492482163906,0.7532739187894866,0.7353263384914768,0.5096304820312131,0.6153044681030022,0.9304972816469445,,2
bank-marketing,stratified,1.0,4,0.90755280327325,0.20739751900818457,0.7590842435932539,0.7410257654652568,0.5211847125476068,0.6227031862600328,0.9286109470379834,,2
higgs,prototype,0.1,1,0.6125,0.6381431815429311,0.6124355053924524,0.6152508824472261,0.23092115605558564,0.7161687727737077,0.6687689851162628,,2
higgs,prototype,0.1,2,0.6156,0.6423327738871559,0.6132953018719083,0.6220510916436834,0.2493486882430157,0.7103300880726654,0.6696078096158135,,2
higgs,prototype,0.1,3,0.6162,0.6444531129915124,0.6022925688397575,0.6289542376328566,0.2853803199122269,0.7199865074250856,0.663781767738959,,2
higgs,prototype,0.1,4,0.6233,0.6373813029417522,0.6135925760947976,0.6344419926893607,0.289474657822004,0.7301352588650665,0.6921916603620389,,2
higgs,prototype,0.25,1,0.6527,0.6098097493475112,0.652376623353875,0.6565928668053284,0.3148803384773516,0.754242100472102,0.7196278471755028,,2
higgs,prototype,0.25,2,0.6563,0.6087077484047612,0.6556955356393237,0.6608589045984212,0.3244322830026465,0.7596198055146732,0.7255340312648535,,2
higgs,prototype,0.25,3,0.6683,0.609996942744099,0.6677277441072889,0.6728753404539107,0.3486279237649325,0.7659389122859723,0.7333978604557536,,2
higgs,prototype,0.25,4,0.6639,0.6088587410617798,0.6632270974311061,0.6686445379450301,0.34041473596279326,0.7632914826092767,0.7285105700234255,,2
higgs,prototype,0.5,1,0.6747,0.5874949618584778,0.6735981948023568,0.6735805277137952,0.347197486442251,0.7789400432132297,0.7514174978260874,,2
higgs,prototype,0.5,2,0.6778,0.5904425703781607,0.6765647230528724,0.6764783689867857,0.35315824622993625,0.7734596982656166,0.7461380844301619,,2
higgs,prototype,0.5,3,0.6631,0.5989969303496624,0.6630992419732944,0.6653627604942957,0.33078396842283514,0.7692814943573598,0.7368691379202128,,2
higgs,prototype,0.5,4,0.6576,0.6040725329733726,0.6573078069284995,0.6580829019619552,0.31564838546847646,0.7623225651445167,0.7275821323238224,,2
higgs,prototype,1.0,1,0.6814,0.5853475014698499,0.6813668494070123,0.6842221052528505,0.3689535236179663,0.7861550709645093,0.7557333987634101,,2
higgs,prototype,1.0,2,0.6857,0.5776860723168554,0.6856666523751505,0.6873597711937827,0.37435684970949484,0.7899683612531955,0.7605306947483053,,2
higgs,prototype,1.0,3,0.6778,0.5825617114318251,0.6777215703213535,0.6809201818879081,0.36266776066209866,0.7839969734462816,0.7568723452139647,,2
higgs,prototype,1.0,4,0.689,0.5807057003436102,0.6888023770615291,0.6898155260306882,0.37901826021061896,0.788070380651833,0.7598669229933265,,2
MiniBooNE,prototype,0.1,1,0.7775,0.45665571300106284,0.7458073608910218,0.771015176383424,0.5054664608003588,0.6686689133225096,0.8506281517563044,,2
MiniBooNE,prototype,0.1,2,0.7984,0.4241561865544533,0.7475514494153211,0.7448921460050953,0.49532144032047376,0.7011789861914676,0.8515163255750268,,2
MiniBooNE,prototype,0.1,3,0.7702,0.4583644091867129,0.7346555140385478,0.7549640935831733,0.47927739532485475,0.660434606097161,0.8414347675490248,,2
MiniBooNE,prototype,0.1,4,0.7197,0.5310569036966659,0.6930808230536487,0.7312775594455743,0.4204143120781942,0.6182744754629724,0.8136495259869483,,2
MiniBooNE,prototype,0.25,1,0.8674,0.3155013712009069,0.8394240073751609,0.8474097663155187,0.6799388964447396,0.8280994191994895,0.9294817531280026,,2
MiniBooNE,prototype,0.25,2,0.8323,0.35608913258217645,0.7872658882983034,0.7807351041524863,0.5756166357153777,0.7801233292938067,0.9022708844445685,,2
MiniBooNE,prototype,0.25,3,0.8405,0.3383325123755247,0.8001577463286629,0.7967595848365758,0.6005785632753498,0.8009842688479067,0.9112358718984757,,2
MiniBooNE,prototype,0.25,4,0.8267,0.37892389293752643,0.7911239641185923,0.7995586030252897,0.5837452427228964,0.7662717087775662,0.8956911953039189,,2
MiniBooNE,prototype,0.5,1,0.9051,0.23970118312406552,0.8814165620127216,0.8780683336533514,0.7630088877108399,0.898151078887581,0.9571568460768862,,2
