dataset,strategy,budget_fraction,seed,brier,ece
MiniBooNE,stratified_coreset,0.1,1,0.36859927,0.18743974150680004
MiniBooNE,stratified_coreset,0.1,2,0.37274444,0.19016189491041008
MiniBooNE,stratified_coreset,0.1,3,0.3612029,0.18618452725037932
MiniBooNE,stratified_coreset,0.1,4,0.39404958,0.19657954813688994
MiniBooNE,stratified_coreset,0.25,1,0.30302954,0.15203468736819925
MiniBooNE,stratified_coreset,0.25,2,0.30377683,0.1589053240701556
MiniBooNE,stratified_coreset,0.25,3,0.27584848,0.14890933612063528
MiniBooNE,stratified_coreset,0.25,4,0.32294896,0.1660660928979516
MiniBooNE,stratified_coreset,0.5,1,0.24424331,0.12641554971113803
MiniBooNE,stratified_coreset,0.5,2,0.26260218,0.13488480406645686
MiniBooNE,stratified_coreset,0.5,3,0.24678543,0.12322698000222444
MiniBooNE,stratified_coreset,0.5,4,0.26560318,0.14226472832374273
MiniBooNE,stratified_coreset,1.0,1,0.21196076,0.11040812948299572
MiniBooNE,stratified_coreset,1.0,2,0.19189437,0.09592642055600882
MiniBooNE,stratified_coreset,1.0,3,0.18378349,0.0900144802725874
MiniBooNE,stratified_coreset,1.0,4,0.21057358,0.11007319261133672
covertype,stratified_coreset,0.1,1,0.46497846,0.05115323811471462
covertype,stratified_coreset,0.1,2,0.4670128,0.020672278654575348
covertype,stratified_coreset,0.1,3,0.46922573,0.0783515283882618
covertype,stratified_coreset,0.1,4,0.46347162,0.05290743464827539
covertype,stratified_coreset,0.25,1,0.36834586,0.008158147737383837
covertype,stratified_coreset,0.25,2,0.3898957,0.025546740841865548
covertype,stratified_coreset,0.25,3,0.3823982,0.011061117425560938
covertype,stratified_coreset,0.25,4,0.40256286,0.03208862049281594
covertype,stratified_coreset,0.5,1,0.331472,0.012412213903665547
covertype,stratified_coreset,0.5,2,0.34523696,0.015007002630829804
covertype,stratified_coreset,0.5,3,0.33323514,0.01098387360274791
covertype,stratified_coreset,0.5,4,0.33562034,0.017200618463754647
covertype,stratified_coreset,1.0,1,0.29147086,0.03057729330360888
covertype,stratified_coreset,1.0,2,0.29801118,0.03396718613803386
covertype,stratified_coreset,1.0,3,0.2991921,0.05854357404708861
covertype,stratified_coreset,1.0,4,0.2958306,0.044126004374027236
bank-marketing,stratified_coreset,0.1,1,0.18995236,0.04200573856293015
bank-marketing,stratified_coreset,0.1,2,0.18913522,0.05041629966811033
bank-marketing,stratified_coreset,0.1,3,0.1912256,0.043910384698870125
bank-marketing,stratified_coreset,0.1,4,0.19211812,0.04417185757869867
bank-marketing,stratified_coreset,0.25,1,0.18453044,0.06010986837295519
bank-marketing,stratified_coreset,0.25,2,0.1702598,0.05384199620512594
bank-marketing,stratified_coreset,0.25,3,0.16786265,0.05254642122617624
bank-marketing,stratified_coreset,0.25,4,0.1778347,0.06146865110503689
bank-marketing,stratified_coreset,0.5,1,0.17297637,0.0651020273812594
bank-marketing,stratified_coreset,0.5,2,0.1644378,0.0579546338492469
bank-marketing,stratified_coreset,0.5,3,0.16212326,0.060482133557045924
bank-marketing,stratified_coreset,0.5,4,0.16574444,0.05798931594105483
bank-marketing,stratified_coreset,1.0,1,0.15996967,0.05884021666507752
bank-marketing,stratified_coreset,1.0,2,0.15084377,0.053836456624918524
bank-marketing,stratified_coreset,1.0,3,0.1504173,0.05087535680625656
bank-marketing,stratified_coreset,1.0,4,0.15193644,0.05247652255403221
covertype,prototype,0.1,1,0.54136664,0.10163344975411893
covertype,prototype,0.1,2,0.5287922,0.13540345312356947
covertype,prototype,0.1,3,0.53174114,0.08129538366794588
covertype,prototype,0.1,4,0.5194329,0.14491893095374112
covertype,prototype,0.25,1,0.52931994,0.08329803198277949
covertype,prototype,0.25,2,0.53879845,0.05480921995639806
covertype,prototype,0.25,3,0.5272254,0.09011725726425646
covertype,prototype,0.25,4,0.5220126,0.08329449464082721
covertype,prototype,0.5,1,0.4935231,0.08581026883125306
covertype,prototype,0.5,2,0.51143676,0.06567107430994512
covertype,prototype,0.5,3,0.49045658,0.10562518434822558
covertype,prototype,0.5,4,0.49588013,0.1315847886234522
covertype,prototype,1.0,1,0.473346,0.1362015276521444
covertype,prototype,1.0,2,0.48854542,0.08420723312199115
covertype,prototype,1.0,3,0.45548603,0.12610404430329797
covertype,prototype,1.0,4,0.46425682,0.12387602644264699
nomao,random,0.1,1,0.07765197,0.014166637937337452
nomao,stratified,0.1,1,0.07822079,0.008398678610970137
nomao,coreset,0.1,1,0.08597421,0.02257303561354329
nomao,prototype,0.1,1,0.16913778,0.1071294032444754
nomao,stratified_coreset,0.1,1,0.10698701,0.05944516676336625
nomao,random,0.1,2,0.08288105,0.011488267379853047
nomao,stratified,0.1,2,0.085263,0.0187977275659946
nomao,coreset,0.1,2,0.08316597,0.014440587593274158
nomao,prototype,0.1,2,0.15818943,0.08663893874367679
nomao,stratified_coreset,0.1,2,0.111236446,0.06655938401720993
nomao,random,0.1,3,0.07685348,0.006510098942405649
nomao,stratified,0.1,3,0.087258846,0.015502706354374004
nomao,coreset,0.1,3,0.08562846,0.025126061168923946
nomao,prototype,0.1,3,0.19665313,0.08935743213417599
nomao,stratified_coreset,0.1,3,0.10479266,0.05706531173500547
nomao,random,0.1,4,0.08060547,0.013033361570177591
nomao,stratified,0.1,4,0.08008836,0.009084587904571844
nomao,coreset,0.1,4,0.08311317,0.020385807260371556
nomao,prototype,0.1,4,0.18750936,0.12416043930132918
nomao,stratified_coreset,0.1,4,0.09933075,0.0572912159539196
nomao,random,0.25,1,0.069592796,0.011938052692397992
nomao,stratified,0.25,1,0.07151724,0.00989114053587377
nomao,coreset,0.25,1,0.06809861,0.010339092470280746
nomao,prototype,0.25,1,0.11856456,0.06343212440862858
nomao,stratified_coreset,0.25,1,0.07553408,0.03408050022172974
nomao,random,0.25,2,0.06664187,0.010823610049980314
nomao,stratified,0.25,2,0.06647993,0.009696593174129063
nomao,coreset,0.25,2,0.06782464,0.012010635597066274
nomao,prototype,0.25,2,0.13253659,0.076918108030196
nomao,stratified_coreset,0.25,2,0.07727924,0.04726885435552846
nomao,random,0.25,3,0.070862114,0.009296629168217498
nomao,stratified,0.25,3,0.07190788,0.009805882015885316
nomao,coreset,0.25,3,0.06626892,0.004326854937181702
nomao,prototype,0.25,3,0.10630677,0.04703344656328807
nomao,stratified_coreset,0.25,3,0.07172534,0.03521898735720482
nomao,random,0.25,4,0.07009854,0.009691383920952569
nomao,stratified,0.25,4,0.06972621,0.011977134653470225
nomao,coreset,0.25,4,0.06625163,0.008893626476841375
nomao,prototype,0.25,4,0.11789407,0.06734581768348427
nomao,stratified_coreset,0.25,4,0.07154687,0.029410779852315796
nomao,random,0.5,1,0.06550775,0.008521014275146866
nomao,stratified,0.5,1,0.06560177,0.012051880993051675
nomao,coreset,0.5,1,0.06118495,0.009880727289135601
nomao,prototype,0.5,1,0.07045913,0.024178581341482798
nomao,stratified_coreset,0.5,1,0.06419485,0.016919978169420882
nomao,random,0.5,2,0.060254626,0.009687787289631931
nomao,stratified,0.5,2,0.057048485,0.009139311270339467
nomao,coreset,0.5,2,0.057038527,0.005880273017104356
nomao,prototype,0.5,2,0.081683844,0.02670956814160897
nomao,stratified_coreset,0.5,2,0.059369326,0.021733390929113364
nomao,random,0.5,3,0.062170148,0.006849273712839459
nomao,stratified,0.5,3,0.063647814,0.008574064305419925
nomao,coreset,0.5,3,0.06000666,0.014240683531600736
nomao,prototype,0.5,3,0.07144227,0.03194484584537182
nomao,stratified_coreset,0.5,3,0.06190989,0.017651026999588995
nomao,random,0.5,4,0.06103394,0.007027651816303874
nomao,stratified,0.5,4,0.06367502,0.010492605612116483
nomao,coreset,0.5,4,0.059187546,0.004645848425447593
nomao,prototype,0.5,4,0.07084158,0.026165214392746924
nomao,stratified_coreset,0.5,4,0.060594276,0.015991059671690178
nomao,random,1.0,1,0.060505886,0.006235784164108469
nomao,stratified,1.0,1,0.06120235,0.007722455634883237
nomao,coreset,1.0,1,0.058009528,0.00819678283794414
nomao,prototype,1.0,1,0.060816027,0.010466675377974695
nomao,stratified_coreset,1.0,1,0.060183786,0.007972004540598612
nomao,random,1.0,2,0.05519567,0.010298639916917969
nomao,stratified,1.0,2,0.05348174,0.010038453739162964
nomao,coreset,1.0,2,0.051807072,0.005490717795743312
nomao,prototype,1.0,2,0.058163036,0.012631639650413888
nomao,stratified_coreset,1.0,2,0.052167613,0.0087322874145222
nomao,random,1.0,3,0.059593312,0.009197396523066902
nomao,stratified,1.0,3,0.055355027,0.005459663782841129
nomao,coreset,1.0,3,0.056736495,0.008508972247504989
nomao,prototype,1.0,3,0.059659593,0.012317157147002874
nomao,stratified_coreset,1.0,3,0.05682712,0.008749280360807125
